"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mayotte.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","mayotte.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mayotte.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","mayotte.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","mayotte.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","mayotte.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","mayotte.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","mayotte.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","mayotte.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","mayotte.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mayotte.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mayotte.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mayotte.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mayotte.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mayotte.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mayotte.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mayotte.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","mayotte.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","mayotte.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","mayotte.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","mayotte.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","mayotte.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mayotte.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mayotte.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","mayotte.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mayotte.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","mayotte.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","mayotte.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","mayotte.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","mayotte.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","mayotte.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","mayotte.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","mayotte.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","mayotte.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mayotte.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mayotte.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","mayotte.gouv.fr/77.159.252.140","443","INFO","EC44E802AD545973DD792F6172AB199B","",""
"cert_serialNumberLen","mayotte.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","mayotte.gouv.fr/77.159.252.140","443","INFO","A5C279D07A10750F9C135CFE6835C9D4E3597B15","",""
"cert_fingerprintSHA256","mayotte.gouv.fr/77.159.252.140","443","INFO","09634F65198AE785D6A4A6A3670A20075B372DFFFD989ECD82B408B7F0228572","",""
